año;grupo_sec;subsector;figura;valor_mill_eur;es_exhaustivo;es_sumable_en_sankey;fuente_oficial;url_verificable;vintage;notas
2024;D.2;Administración Local;IVA — Diputaciones Forales País Vasco;6874;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Estado;IRPF (ingresos SEC en cuentas del Estado);65327;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Estado;Impuesto sobre Sociedades (cuentas del Estado);39520;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Estado;IRNR;4277;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Administración Regional;IRPF — entregas a cuenta régimen común;63298;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Administración Regional;IRPF — liquidación definitiva 2022;6679;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Administración Regional;IRPF de Navarra;2184;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Administración Regional;Sociedades de Navarra;502;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Administración Regional;Impuesto sobre Patrimonio;1989;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Administración Local;IRPF — Diputaciones Forales País Vasco;7513;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.5;Administración Local;Sociedades — Diputaciones Forales País Vasco;1740;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.91;Administración Regional;Sucesiones y Donaciones;3128;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.91;Administración Local;Incremento del Valor de los Terrenos de Naturaleza Urbana;1780;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.91;Administración Local;Sucesiones y Donaciones;180;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
