year,category,subcategory,indicator_id,indicator_name,source,value,source_url,unit,reference_period,frequency,period_type,status,geo_level,geo_name,definition,source_revision_date,notes
2020,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional Trimestral,-10.9,https://ine.es/dyngs/Prensa/CNTR4T25.htm,%,2020,Anual,año natural,oficial,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,"2025: 2,8% real según INE. 2024 revisado a 3,5%. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2021,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional Trimestral,6.7,https://ine.es/dyngs/Prensa/CNTR4T25.htm,%,2021,Anual,año natural,oficial,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,"2025: 2,8% real según INE. 2024 revisado a 3,5%. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2022,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional,6.4,https://ine.es/dyngs/Prensa/CNA2024.htm,%,2022,Anual,media anual,oficial,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,Serie anual revisada/avance según INE; tasas redondeadas a una decimal.
2023,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional,2.5,https://ine.es/dyngs/Prensa/CNA2024.htm,%,2023,Anual,media anual,oficial,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,Serie anual revisada/avance según INE; tasas redondeadas a una decimal.
2024,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional,3.5,https://ine.es/dyngs/Prensa/CNA2024.htm,%,2024,Anual,media anual,oficial avance,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,Serie anual revisada/avance según INE; tasas redondeadas a una decimal.
2025,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional,2.8,https://ine.es/dyngs/Prensa/CNTR4T25.htm,%,2025,Anual,media anual,oficial CNTR,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,Serie anual revisada/avance según INE; tasas redondeadas a una decimal.
2018,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional Trimestral / síntesis BdE,1212276000000,https://www.bde.es/webbe/es/estadisticas/compartido/datos/pdf/a23ab.pdf,millones de euros,2018,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes. Euros corrientes convertidos a millones de euros.,2026-07-10,El INE confirma para 2025 un PIB a precios corrientes de 1.687.152 millones de euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2019,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional Trimestral / síntesis BdE,1253710000000,https://www.bde.es/webbe/es/estadisticas/compartido/datos/pdf/a23ab.pdf,millones de euros,2019,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes. Euros corrientes convertidos a millones de euros.,2026-07-10,El INE confirma para 2025 un PIB a precios corrientes de 1.687.152 millones de euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2020,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional Trimestral / síntesis BdE,1129214000000,https://www.bde.es/webbe/es/estadisticas/compartido/datos/pdf/a23ab.pdf,millones de euros,2020,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes. Euros corrientes convertidos a millones de euros.,2026-07-10,El INE confirma para 2025 un PIB a precios corrientes de 1.687.152 millones de euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2021,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional Trimestral / síntesis BdE,1235474000000,https://www.bde.es/webbe/es/estadisticas/compartido/datos/pdf/a23ab.pdf,millones de euros,2021,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes. Euros corrientes convertidos a millones de euros.,2026-07-10,El INE confirma para 2025 un PIB a precios corrientes de 1.687.152 millones de euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2022,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional Trimestral / síntesis BdE,1375863000000,https://www.bde.es/webbe/es/estadisticas/compartido/datos/pdf/a23ab.pdf,millones de euros,2022,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes. Euros corrientes convertidos a millones de euros.,2026-07-10,El INE confirma para 2025 un PIB a precios corrientes de 1.687.152 millones de euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2023,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional Trimestral / síntesis BdE,1497761000000,https://www.bde.es/webbe/es/estadisticas/compartido/datos/pdf/a23ab.pdf,millones de euros,2023,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes. Euros corrientes convertidos a millones de euros.,2026-07-10,El INE confirma para 2025 un PIB a precios corrientes de 1.687.152 millones de euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2024,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional,1594330000000,https://ine.es/dyngs/Prensa/CNA2024.htm,millones de euros,2024,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes.,2026-07-10,Dato de PIB a precios corrientes publicado por el INE.
2025,Economía,PIB,pib_nominal_eur,PIB nominal,INE - Contabilidad Nacional,1687152000000,https://ine.es/dyngs/Prensa/CNTR4T25.htm,millones de euros,2025,Anual,año natural,oficial,País,España,Producto Interior Bruto a precios corrientes.,2026-07-10,Dato de PIB a precios corrientes publicado por el INE.
2018,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio con INE PIB + INE población residente,25981.92,https://ine.es/dyngs/Prensa/CNTR4T25.htm | https://ine.es/prensa/ecp_tabla.htm,euros por habitante,2018,Anual,año natural,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Para comparación internacional conviene usar PIB per cápita nominal USD o PPA; este campo es doméstico en euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2019,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio con INE PIB + INE población residente,26710.45,https://ine.es/dyngs/Prensa/CNTR4T25.htm | https://ine.es/prensa/ecp_tabla.htm,euros por habitante,2019,Anual,año natural,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Para comparación internacional conviene usar PIB per cápita nominal USD o PPA; este campo es doméstico en euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2020,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio con INE PIB + INE población residente,23857,https://ine.es/dyngs/Prensa/CNTR4T25.htm | https://ine.es/prensa/ecp_tabla.htm,euros por habitante,2020,Anual,año natural,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Para comparación internacional conviene usar PIB per cápita nominal USD o PPA; este campo es doméstico en euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2021,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio con INE PIB + INE población residente,26064.41,https://ine.es/dyngs/Prensa/CNTR4T25.htm | https://ine.es/prensa/ecp_tabla.htm,euros por habitante,2021,Anual,año natural,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Para comparación internacional conviene usar PIB per cápita nominal USD o PPA; este campo es doméstico en euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2022,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio con INE PIB + INE población residente,28973.63,https://ine.es/dyngs/Prensa/CNTR4T25.htm | https://ine.es/prensa/ecp_tabla.htm,euros por habitante,2022,Anual,año natural,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Para comparación internacional conviene usar PIB per cápita nominal USD o PPA; este campo es doméstico en euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2023,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio con INE PIB + INE población residente,31147.96,https://ine.es/dyngs/Prensa/CNTR4T25.htm | https://ine.es/prensa/ecp_tabla.htm,euros por habitante,2023,Anual,año natural,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Para comparación internacional conviene usar PIB per cápita nominal USD o PPA; este campo es doméstico en euros. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2024,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio sobre INE - PIB y población,32791.86,https://ine.es/dyngs/Prensa/CNA2024.htm,euros por habitante,2024,Anual,media anual,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Cálculo aproximado usando PIB nominal anual y población residente a 1 de enero.
2025,Economía,PIB,pib_per_capita_eur,PIB per cápita,Cálculo propio sobre INE - PIB y población,34341.76,https://ine.es/dyngs/Prensa/CNTR4T25.htm,euros por habitante,2025,Anual,media anual,calculado,País,España,PIB nominal dividido entre población residente a 1 de enero.,2026-07-10,Cálculo aproximado usando PIB nominal anual y población residente a 1 de enero.
2018,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,14,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2018,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2019,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,14,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2019,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2020,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,14,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2020,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2021,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,15,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2021,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2022,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,15,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2022,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2023,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,15,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2023,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2024,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,15,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2024,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2025,Economía,Ranking internacional,posicion_pib_mundial,Posición PIB mundial,IMF WEO / World Bank GDP current US$,12,https://www.imf.org/en/Publications/WEO/weo-database/2026/April,ranking,2025,Anual,año natural,calculado,País,España,Ranking mundial calculado con PIB nominal en dólares corrientes.,2026-07-10,2025: España aparece como #12 por PIB nominal en la tabla IMF WEO abril 2026. Históricos incluidos como referencia calculada; automatizar con API. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025.
2018,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,58.65,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2018,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2019,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,58.64,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2019,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2020,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,57.44,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2020,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2021,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,58.38,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2021,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2022,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,58.53,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2022,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2023,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,58.85,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2023,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2024,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,58.76,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2024,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2025,Empleo,EPA,tasa_actividad,Tasa de actividad,INE - EPA tabla 72978,58.96,https://ine.es/jaxiT3/Tabla.htm?t=72978,%,2025,Anual,media anual,oficial,País,España,"Tasa de actividad anual, ambos sexos, total edades.",2026-07-10,
2018,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,15.25,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2018,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2019,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,14.1,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2019,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2020,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,15.53,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2020,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2021,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,14.91,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2021,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2022,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,13.03,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2022,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2023,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,12.18,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2023,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2024,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,11.34,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2024,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2025,Empleo,EPA,tasa_desempleo,Tasa de desempleo,INE - EPA tabla 66055,10.5,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2025,Anual,media anual,oficial,País,España,Tasa de paro media de los cuatro trimestres del año.,2026-07-10,
2018,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,49.7,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2018,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2019,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,50.37,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2019,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2020,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,48.52,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2020,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2021,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,49.68,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2021,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2022,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,50.9,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2022,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2023,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,51.69,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2023,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2024,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,52.1,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2024,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2025,Empleo,EPA,tasa_empleo,Tasa de empleo,INE - EPA tabla 66031,52.77,https://ine.es/jaxiT3/Tabla.htm?t=66031,%,2025,Anual,media anual,oficial,País,España,Tasa de empleo media de los cuatro trimestres del año.,2026-07-10,
2018,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,34.34,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2018,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2019,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,32.53,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2019,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2020,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,38.26,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2020,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2021,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,35,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2021,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2022,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,29.67,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2022,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2023,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,28.67,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2023,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2024,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,26.52,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2024,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2025,Empleo,EPA,tasa_paro_juvenil,Tasa de desempleo juvenil,INE - EPA tabla 66055,24.87,https://ine.es/jaxiT3/Tabla.htm?t=66055,%,2025,Anual,media anual,oficial,País,España,Tasa de paro de menores de 25 años; media de los cuatro trimestres del año.,2026-07-10,
2018,Precios,Alimentos,inflacion_alimentos_media_anual,Inflación alimentos media anual,INE - IPC tabla 50934,1.6,https://ine.es/jaxiT3/Tabla.htm?t=50934,%,2018,Anual,media anual,oficial,País,España,Variación de la media anual del IPC de alimentos y bebidas no alcohólicas.,2026-07-10,Base 2021; grupo ECOICOP 01.
2019,Precios,Alimentos,inflacion_alimentos_media_anual,Inflación alimentos media anual,INE - IPC tabla 50934,1,https://ine.es/jaxiT3/Tabla.htm?t=50934,%,2019,Anual,media anual,oficial,País,España,Variación de la media anual del IPC de alimentos y bebidas no alcohólicas.,2026-07-10,Base 2021; grupo ECOICOP 01.
2020,Precios,Alimentos,inflacion_alimentos_media_anual,Inflación alimentos media anual,INE - IPC tabla 50934,2.4,https://ine.es/jaxiT3/Tabla.htm?t=50934,%,2020,Anual,media anual,oficial,País,España,Variación de la media anual del IPC de alimentos y bebidas no alcohólicas.,2026-07-10,Base 2021; grupo ECOICOP 01.
2021,Precios,Alimentos,inflacion_alimentos_media_anual,Inflación alimentos media anual,INE - IPC tabla 50934,1.8,https://ine.es/jaxiT3/Tabla.htm?t=50934,%,2021,Anual,media anual,oficial,País,España,Variación de la media anual del IPC de alimentos y bebidas no alcohólicas.,2026-07-10,Base 2021; grupo ECOICOP 01.
2022,Precios,Alimentos,inflacion_alimentos_media_anual,Inflación alimentos media anual,INE - IPC tabla 50934,11.6,https://ine.es/jaxiT3/Tabla.htm?t=50934,%,2022,Anual,media anual,oficial,País,España,Variación de la media anual del IPC de alimentos y bebidas no alcohólicas.,2026-07-10,Base 2021; grupo ECOICOP 01.
